track_name,artist,album,release_date,duration,popularity,explicit,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri
In Spring,Tara Clerkin Trio,In Spring,2021-10-01,306227,11,False,4,0.278,0.248,10,-19.19,0,0.0368,0.874,0.932,0.148,0.125,129.936,spotify:track:1EUt6WUboYry7pOg72r0PW
In Spring,Tara Clerkin Trio,In Spring,2021-10-01,306227,11,False,4,0.278,0.248,10,-19.19,0,0.0368,0.874,0.932,0.148,0.125,129.936,spotify:track:1EUt6WUboYry7pOg72r0PW
In Spring,Tara Clerkin Trio,In Spring,2021-10-01,306227,11,False,4,0.278,0.248,10,-19.19,0,0.0368,0.874,0.932,0.148,0.125,129.936,spotify:track:1EUt6WUboYry7pOg72r0PW
In Spring,Tara Clerkin Trio,In Spring,2021-10-01,306227,11,False,4,0.278,0.248,10,-19.19,0,0.0368,0.874,0.932,0.148,0.125,129.936,spotify:track:1EUt6WUboYry7pOg72r0PW
Exquisite Corpse 1,Tara Clerkin Trio,Exquisite Corpse 1,2022-08-03,573723,8,False,1,0.274,0.45,7,-11.703,1,0.061,0.654,0.668,0.101,0.233,183.818,spotify:track:29r2jdYs7lylrlfPOPrUCx
HAPPY,slowthai,UGLY,2023-03-03,182715,38,True,7,0.602,0.925,3,-5.184,0,0.278,0.0487,0.0,0.117,0.65,142.078,spotify:track:0LsWFs0SKG3mqWw8QBoT9y
City Limits - Robert Hood Remix,Mount Kimbie,City Limits (Robert Hood Remix),2023-03-08,419383,16,False,1,0.666,0.724,10,-10.895,0,0.0559,0.257,0.918,0.0932,0.0778,131.036,spotify:track:5ZLuggSCBLcAlQZY565lLW
Nothing Left To Lose,Everything But The Girl,Nothing Left To Lose,2023-01-10,224760,37,False,1,0.77,0.583,1,-10.138,1,0.0768,0.108,0.016,0.0548,0.833,128.0,spotify:track:02zPsXmSUP6Rr1Z2w5KMpf
Blue Room,E. Lundquist,Multiple Images,2022-04-22,269482,3,False,11,0.673,0.547,11,-7.893,0,0.0311,0.036,0.675,0.107,0.491,129.998,spotify:track:0JYgBakVodKoL3BBISKPJa
最後の楽園,Haruomi Hosono,PACIFIC,1978,243000,46,False,1,0.566,0.487,5,-11.987,1,0.033,0.634,0.959,0.195,0.285,80.505,spotify:track:3Q59MwvTzZveZTNunIQY1x
Self Love,MAVI,Let the Sun Talk,2019-10-18,307687,1,True,4,0.525,0.712,5,-7.012,0,0.206,0.679,0.0,0.303,0.55,72.91,spotify:track:5lZ6f9AO0OrwsdFyQAfKqV
J Buyers - Acoustic Version,Dorian Concept,The Jitters,2020-09-25,130612,35,False,5,0.332,0.254,6,-14.744,1,0.0344,0.926,0.929,0.108,0.378,122.933,spotify:track:3rogB3pVSeeWNTgxBErDlO
